"Enabled","Enabled"
"Availability","Availability"
"Available in backend, frontend or both. Default: Backend / Frontend.","Available in backend, frontend or both. Default: Backend / Frontend."
"Customers Only","Customers Only"
"Available for logged in customers only. Default: No.","Available for logged in customers only. Default: No."
"Enable Scheduler","Enable Scheduler"
"Enable custom shipping method for a specific time range only. Default: No.","Enable custom shipping method for a specific time range only. Default: No."
"Frequency","Frequency"
"Select "Wednesday" to display the custom shipping method on Wednesdays only. Default: All weekdays","Select "Wednesday" to display the custom shipping method on Wednesdays only. Default: All weekdays"
"Start Date","Start Date"
"End Date","End Date"
"Hide Other Shipping Methods","Hide Other Shipping Methods"
"Hide other shipping methods while "Custom Shipping" is available in the frontend. Default: No.","Hide other shipping methods while "Custom Shipping" is available in the frontend. Default: No."
"Hide","Hide"
"Select one or multiple shipping methods which you would like to hide in the frontend. Default: No selection","Select one or multiple shipping methods which you would like to hide in the frontend. Default: No selection"
"Method Title","Method Title"
"Method Name","Method Name"
"Displayed Error Message","Displayed Error Message"
"Ship to Applicable Countries","Ship to Applicable Countries"
"Ship to Specific Countries","Ship to Specific Countries"
"Show Method if Not Applicable","Show Method if Not Applicable"
"Sort Order","Sort Order"
"Backend / Frontend","Backend / Frontend"
"Backend only","Backend only"
"Frontend only","Frontend only"
"Monday","Monday"
"Tuesday","Tuesday"
"Wednesday","Wednesday"
"Thursday","Thursday"
"Friday","Friday"
"Saturday","Saturday"
"Sunday","Sunday"
